slot,date,plan,QoS,battery,consumption,ep_slot
1,1-12-2012:0:0:0,5,70.000000,1999.973600,0.026400,0.000000
2,1-12-2012:0:4:48,5,70.000000,1999.947200,0.026400,0.000000
3,1-12-2012:0:9:36,5,70.000000,1999.920800,0.026400,0.000000
4,1-12-2012:0:14:24,5,70.000000,1999.894400,0.026400,0.000000
5,1-12-2012:0:19:12,5,70.000000,1999.868000,0.026400,0.000000
6,1-12-2012:0:24:0,5,70.000000,1999.841600,0.026400,0.000000
7,1-12-2012:0:28:48,5,70.000000,1999.815200,0.026400,0.000000
8,1-12-2012:0:33:36,5,70.000000,1999.788800,0.026400,0.000000
9,1-12-2012:0:38:24,5,70.000000,1999.762400,0.026400,0.000000
10,1-12-2012:0:43:12,5,70.000000,1999.736000,0.026400,0.000000
11,1-12-2012:0:48:0,5,70.000000,1999.709600,0.026400,0.000000
12,1-12-2012:0:52:48,5,70.000000,1999.683200,0.026400,0.000000
13,1-12-2012:0:57:36,5,70.000000,1999.656800,0.026400,0.000000
14,1-12-2012:1:2:24,5,70.000000,1999.630400,0.026400,0.000000
15,1-12-2012:1:7:12,5,70.000000,1999.604000,0.026400,0.000000
16,1-12-2012:1:12:0,5,70.000000,1999.577600,0.026400,0.000000
17,1-12-2012:1:16:48,5,70.000000,1999.551200,0.026400,0.000000
18,1-12-2012:1:21:36,5,70.000000,1999.524800,0.026400,0.000000
19,1-12-2012:1:26:24,5,70.000000,1999.498400,0.026400,0.000000
20,1-12-2012:1:31:12,5,70.000000,1999.472000,0.026400,0.000000
21,1-12-2012:1:36:0,5,70.000000,1999.445600,0.026400,0.000000
22,1-12-2012:1:40:48,5,70.000000,1999.419200,0.026400,0.000000
23,1-12-2012:1:45:36,5,70.000000,1999.392800,0.026400,0.000000
24,1-12-2012:1:50:24,5,70.000000,1999.366400,0.026400,0.000000
25,1-12-2012:1:55:12,5,70.000000,1999.340000,0.026400,0.000000
26,1-12-2012:2:0:0,5,70.000000,1999.313600,0.026400,0.000000
27,1-12-2012:2:4:48,5,70.000000,1999.287200,0.026400,0.000000
28,1-12-2012:2:9:36,5,70.000000,1999.260800,0.026400,0.000000
29,1-12-2012:2:14:24,5,70.000000,1999.234400,0.026400,0.000000
30,1-12-2012:2:19:12,5,70.000000,1999.208000,0.026400,0.000000
31,1-12-2012:2:24:0,5,70.000000,1999.181600,0.026400,0.000000
32,1-12-2012:2:28:48,5,70.000000,1999.155200,0.026400,0.000000
33,1-12-2012:2:33:36,5,70.000000,1999.128800,0.026400,0.000000
34,1-12-2012:2:38:24,5,70.000000,1999.102400,0.026400,0.000000
35,1-12-2012:2:43:12,5,70.000000,1999.076000,0.026400,0.000000
36,1-12-2012:2:48:0,5,70.000000,1999.049600,0.026400,0.000000
37,1-12-2012:2:52:48,5,70.000000,1999.023200,0.026400,0.000000
38,1-12-2012:2:57:36,5,70.000000,1998.996800,0.026400,0.000000
39,1-12-2012:3:2:24,5,70.000000,1998.970400,0.026400,0.000000
40,1-12-2012:3:7:12,5,70.000000,1998.944000,0.026400,0.000000
41,1-12-2012:3:12:0,5,70.000000,1998.917600,0.026400,0.000000
42,1-12-2012:3:16:48,5,70.000000,1998.891200,0.026400,0.000000
43,1-12-2012:3:21:36,5,70.000000,1998.864800,0.026400,0.000000
44,1-12-2012:3:26:24,5,70.000000,1998.838400,0.026400,0.000000
45,1-12-2012:3:31:12,5,70.000000,1998.812000,0.026400,0.000000
46,1-12-2012:3:36:0,5,70.000000,1998.785600,0.026400,0.000000
47,1-12-2012:3:40:48,5,70.000000,1998.759200,0.026400,0.000000
48,1-12-2012:3:45:36,5,70.000000,1998.732800,0.026400,0.000000
49,1-12-2012:3:50:24,5,70.000000,1998.706400,0.026400,0.000000
50,1-12-2012:3:55:12,5,70.000000,1998.680000,0.026400,0.000000
51,1-12-2012:4:0:0,5,70.000000,1998.653600,0.026400,0.000000
52,1-12-2012:4:4:48,5,70.000000,1998.627200,0.026400,0.000000
53,1-12-2012:4:9:36,5,70.000000,1998.600800,0.026400,0.000000
54,1-12-2012:4:14:24,5,70.000000,1998.574400,0.026400,0.000000
55,1-12-2012:4:19:12,5,70.000000,1998.548000,0.026400,0.000000
56,1-12-2012:4:24:0,5,70.000000,1998.521600,0.026400,0.000000
57,1-12-2012:4:28:48,5,70.000000,1998.495200,0.026400,0.000000
58,1-12-2012:4:33:36,5,70.000000,1998.468800,0.026400,0.000000
59,1-12-2012:4:38:24,5,70.000000,1998.442400,0.026400,0.000000
60,1-12-2012:4:43:12,5,70.000000,1998.416000,0.026400,0.000000
61,1-12-2012:4:48:0,5,70.000000,1998.389600,0.026400,0.000000
62,1-12-2012:4:52:48,5,70.000000,1998.363200,0.026400,0.000000
63,1-12-2012:4:57:36,5,70.000000,1998.336800,0.026400,0.000000
64,1-12-2012:5:2:24,5,70.000000,1998.310400,0.026400,0.000000
65,1-12-2012:5:7:12,5,70.000000,1998.284000,0.026400,0.000000
66,1-12-2012:5:12:0,5,70.000000,1998.257600,0.026400,0.000000
67,1-12-2012:5:16:48,5,70.000000,1998.231200,0.026400,0.000000
68,1-12-2012:5:21:36,5,70.000000,1998.204800,0.026400,0.000000
69,1-12-2012:5:26:24,5,70.000000,1998.178400,0.026400,0.000000
70,1-12-2012:5:31:12,5,70.000000,1998.152000,0.026400,0.000000
71,1-12-2012:5:36:0,5,70.000000,1998.125600,0.026400,0.000000
72,1-12-2012:5:40:48,5,70.000000,1998.099200,0.026400,0.000000
73,1-12-2012:5:45:36,5,70.000000,1998.072800,0.026400,0.000000
74,1-12-2012:5:50:24,5,70.000000,1998.046400,0.026400,0.000000
75,1-12-2012:5:55:12,5,70.000000,1998.020000,0.026400,0.000000
76,1-12-2012:6:0:0,5,70.000000,1997.993600,0.026400,0.000000
77,1-12-2012:6:4:48,5,70.000000,1997.967200,0.026400,0.000000
78,1-12-2012:6:9:36,5,70.000000,1997.940800,0.026400,0.000000
79,1-12-2012:6:14:24,5,70.000000,1997.914400,0.026400,0.000000
80,1-12-2012:6:19:12,5,70.000000,1997.888000,0.026400,0.000000
81,1-12-2012:6:24:0,5,70.000000,1997.861600,0.026400,0.000000
82,1-12-2012:6:28:48,5,70.000000,1997.835200,0.026400,0.000000
83,1-12-2012:6:33:36,5,70.000000,1997.808800,0.026400,0.000000
84,1-12-2012:6:38:24,5,70.000000,1997.782400,0.026400,0.000000
85,1-12-2012:6:43:12,5,70.000000,1997.756000,0.026400,0.000000
86,1-12-2012:6:48:0,5,70.000000,1997.729600,0.026400,0.000000
87,1-12-2012:6:52:48,5,70.000000,1997.703200,0.026400,0.000000
88,1-12-2012:6:57:36,5,70.000000,1997.676800,0.026400,0.000000
89,1-12-2012:7:2:24,5,70.000000,1997.650400,0.026400,0.000000
90,1-12-2012:7:7:12,5,70.000000,1997.624000,0.026400,0.000000
91,1-12-2012:7:12:0,5,70.000000,1997.597600,0.026400,0.000000
92,1-12-2012:7:16:48,5,70.000000,1997.571200,0.026400,0.000000
93,1-12-2012:7:21:36,5,70.000000,1997.544800,0.026400,0.000000
94,1-12-2012:7:26:24,5,70.000000,1997.518400,0.026400,0.000000
95,1-12-2012:7:31:12,5,70.000000,1997.492000,0.026400,0.000000
96,1-12-2012:7:36:0,5,70.000000,1997.465600,0.026400,0.000000
97,1-12-2012:7:40:48,5,70.000000,1997.439200,0.026400,0.000000
98,1-12-2012:7:45:36,5,70.000000,1997.412800,0.026400,0.000000
99,1-12-2012:7:50:24,5,70.000000,1997.386400,0.026400,0.000000
100,1-12-2012:7:55:12,5,70.000000,1997.360000,0.026400,0.000000
101,1-12-2012:8:0:0,5,70.000000,1997.398690,0.026400,0.366384
102,1-12-2012:8:4:48,5,70.000000,1997.437380,0.026400,0.366384
103,1-12-2012:8:9:36,5,70.000000,1997.476070,0.026400,0.366384
104,1-12-2012:8:14:24,5,70.000000,1997.514760,0.026400,0.366384
105,1-12-2012:8:19:12,5,70.000000,1997.553451,0.026400,0.366384
106,1-12-2012:8:24:0,5,70.000000,1997.592141,0.026400,0.366384
